"cas_palu_confirme","tempmax_mean","tempmin_mean","temp_mean","feelslikemax_mean","feelslikemin_mean","feelslike_mean","dew_mean","humidity_mean","precip_mean","precipprob_mean","precipcover_mean","snowdepth_mean","windgust_mean","windspeed_mean","winddir_mean","sealevelpressure_mean","cloudcover_mean","solarradiation_mean","solarenergy_mean","uvindex_mean","moonphase_mean","tempmax_max","tempmin_max","temp_max","feelslikemax_max","feelslikemin_max","feelslike_max","dew_max","humidity_max","precip_max","precipprob_max","precipcover_max","snowdepth_max","windgust_max","windspeed_max","winddir_max","sealevelpressure_max","cloudcover_max","solarradiation_max","solarenergy_max","uvindex_max","moonphase_max","tempmax_min","tempmin_min","temp_min","feelslikemax_min","feelslikemin_min","feelslike_min","dew_min","humidity_min","precip_min","precipprob_min","precipcover_min","windgust_min","windspeed_min","winddir_min","sealevelpressure_min","cloudcover_min","solarradiation_min","solarenergy_min","uvindex_min","moonphase_min","mean_night_duration","VHI_mean","VCI_mean","TCI_mean"
115,39.3142857142857,25.0714285714286,31.8571428571429,37.8714285714286,25.0714285714286,30.9571428571429,11.7142857142857,31.3142857142857,0,0,0,0,31.0428571428571,14.6714285714286,277.771428571429,1008.55714285714,18.1285714285714,272.542857142857,23.5857142857143,9,0.778571428571429,40,26,32.4,39.1,26,31.8,13,34.9,0,0,0,0,37.8,18,333.1,1009.1,35.4,275.3,23.8,9,0.88,37.6,23.1,30.8,35.8,23.1,29.7,9.9,27.3,0,0,0,19.1,10.1,210.1,1008.3,4.6,269,23.2,9,0.67,1440,43.3073323904866,60.078584799622,26.5363933645716
133,37.9714285714286,23.3571428571429,30.6285714285714,36.0428571428571,23.3571428571429,29.4428571428571,7.54285714285714,24.8857142857143,0,0,0,0,25.7142857142857,14.3428571428571,156.2,1009.31428571429,34.6142857142857,279.928571428571,24.1714285714286,9.57142857142857,0.31,39.8,25,31.6,38.1,25,30.4,10.4,30.1,0,0,0,0,31.3,25.9,337.7,1010.3,54.2,291.3,25.2,10,0.96,36,21,30,33.9,21,28.6,1.4,16.5,0,0,0,20.9,8.6,6.5,1008.5,14.1,274.8,23.7,9,0,1440,43.9474232413552,57.7217868068001,30.1727771500144
134,39.6428571428571,23.9428571428571,31.6142857142857,37.4285714285714,23.9428571428571,30.1285714285714,5.32857142857143,20.0714285714286,0,0,0,0,27.6142857142857,12.8142857142857,92.6428571428571,1007.62857142857,40.0714285714286,291.214285714286,25.1714285714286,10,0.25,41,25,32.6,39.1,25,30.8,8,23.4,0,0,0,0,30.6,14.8,357.5,1008.2,65.9,297.4,25.8,10,0.35,38,22,30,35.6,22,28.7,3.7,17.7,0,0,0,22.3,11.2,25.2,1007,14,284.9,24.6,10,0.15,1440,44.3945546046652,55.5204938753687,33.2686659814733
121,40.1571428571429,25.4285714285714,32.5857142857143,39.0714285714286,25.5,31.4428571428571,9.98571428571429,26.6714285714286,0,0,0,0,28.9571428571429,12.5428571428571,176.571428571429,1007.97142857143,26.2714285714286,296.214285714286,25.5714285714286,10,0.474285714285714,41.1,27,34.1,40.9,27.5,33.1,12.5,32.2,0,0,0,0,37.8,18.4,309.1,1008.9,58.3,300.3,25.8,10,0.58,39,24.2,31.4,37.6,24.2,30,6.7,22.3,0,0,0,20.9,9.9,4.7,1007.3,6.8,290.4,25.2,10,0.38,1440,46.701726233598,56.571221038067,36.8325245727192
145,41.0714285714286,27.4142857142857,34.3571428571429,41.3142857142857,27.5571428571429,34.0428571428571,13.5714285714286,30.6428571428571,0.435857142857143,28.5714285714286,1.19142857142857,0,33.9,15.0857142857143,255.085714285714,1007.51428571429,35.6428571428571,294.571428571429,25.4142857142857,9.85714285714286,0.72,42,28.9,34.8,45.2,29.5,36.5,18.5,39.6,3,100,4.17,0,43.9,18.7,306.5,1008.5,56.5,303.1,26.2,10,0.83,40,27,33.6,39.9,26.3,32.7,10,24.1,0,0,0,28.1,11.2,97.8,1006.8,17.8,279.7,24.2,9,0.61,1431.42857142857,48.4892211934533,58.9873623534886,37.9909588498901
69,41.6285714285714,28.3,34.6714285714286,41.7285714285714,28.2857142857143,34.4142857142857,14.0714285714286,30.7142857142857,0.00728571428571429,14.2857142857143,0.595714285714286,0,37.8428571428571,18.4142857142857,281.7,1006.68571428571,41.3857142857143,302.328571428571,26.1,10,0.541428571428571,43,30,36,43.2,30.3,35.3,17.1,37.6,0.051,100,4.17,0,47.9,25.6,298.7,1008.9,62.4,305.9,26.5,10,0.97,40.4,26.7,33.8,40.4,26.4,33.4,10.9,24.6,0,0,0,28.1,11.2,268,1004.2,25.4,298.1,25.7,10,0,1440,49.2020697277002,60.6054432052554,37.7984336240123
85,42.3142857142857,27.9285714285714,34.9428571428571,42.3857142857143,28.0571428571429,34.3,12.5714285714286,27.8,0,0,0,0,32.0428571428571,16.7714285714286,284.6,1007.55714285714,36.6142857142857,303.071428571429,26.1714285714286,9.85714285714286,0.198571428571429,44,31,36.6,47.1,31,36.5,14.7,32.4,0,0,0,0,38.2,23,351.3,1008.3,76.3,311.8,26.8,10,0.3,40,25.7,33.4,38.7,25.7,32.2,10.2,24.8,0,0,0,26.3,13,47.5,1005.2,12,278.4,24,9,0.1,1440,51.4737261061717,62.5437159447959,40.4037062963452
43,41.7714285714286,28.5714285714286,34.9,40.7714285714286,28.5,34.2571428571429,13.4285714285714,29.3857142857143,0.00728571428571429,14.2857142857143,0.595714285714286,0,41.7,21.3428571428571,259.8,1006.31428571429,50.7714285714286,299.371428571429,25.8142857142857,9.85714285714286,0.428571428571429,43,29.3,35.9,41.8,29.6,34.8,14.3,31.6,0.051,100,4.17,0,50.4,24.5,297.5,1007,88.4,311.9,27,10,0.53,40.4,27,34.4,39.6,27.1,33.9,11.8,24.4,0,0,0,33.1,11.2,161.3,1005.4,23.8,273.4,23.6,9,0.33,1440,52.155059423832,67.1489481066212,37.1611911406421
95,41.4714285714286,28.4142857142857,34.8142857142857,40.7285714285714,28.9428571428571,34.4857142857143,13.6,30.5428571428571,0,0,0,0,34.8,16.7857142857143,249.342857142857,1007.72857142857,52.9857142857143,300.585714285714,25.9571428571429,10,0.668571428571429,42.7,30,35.3,42.7,30.7,36,17.1,38.5,0,0,0,0,45,23,350.4,1009.2,85.7,313.6,27.1,10,0.77,40.1,27.2,34.2,39.7,27.3,33.1,9.7,22.5,0,0,0,25.9,11.2,31.2,1006.7,31.9,262,22.7,10,0.56,1440,50.6913220530809,69.4643825415409,31.918039771764
105,41.0857142857143,28.9571428571429,34.9428571428571,41.0285714285714,28.8857142857143,34.6571428571429,13.8285714285714,30.2428571428571,0.0692857142857143,14.2857142857143,0.595714285714286,0,33.8,17.5571428571429,280.857142857143,1007.88571428571,35.6,301.971428571429,26.0428571428571,10,0.632857142857143,42.1,30,35.7,41.8,30.6,35.7,18.6,43.4,0.485,100,4.17,0,42.5,22.3,353.5,1010.4,65.6,312.9,27,10,0.95,40,28,34,40,27.7,33.5,9.7,21.6,0,0,0,28.1,12.2,192.2,1006.5,7.5,277.6,24,10,0,1440,49.6241504242324,69.8049784502598,29.4433831855504
